Query,Topic
"Tôi muốn tìm đề kiểm tra cuối kỳ môn Tiếng Việt cho học sinh lớp 5, bạn có thể gợi ý cho tôi không?",Tiếng Việt
"Là giáo viên Ngữ văn, tôi cần bộ đề thi học kỳ 1 cho lớp 9, bạn giúp tôi tổng hợp nhé.",Ngữ văn
"Tôi cần giáo án Hình học về chuyên đề tam giác đồng dạng cho khối THPT, bạn có mẫu không?",Hình học
Bạn có thể tổng hợp bộ câu hỏi trắc nghiệm Vật lý lớp 12 về điện xoay chiều cho mình được không?,Vật lý
"Tôi cần tìm tài liệu lý thuyết Hóa học lớp 11 phần ancol và ete để học thêm, bạn giúp được không?",Hóa học
Tìm bài tập trắc nghiệm Sinh học về cơ chế di truyền và biến dị cho mình với nhé.,Sinh học
Mình muốn tìm các bài tập Lịch sử về phong trào Cần Vương ở Việt Nam.,Lịch sử
Xin gợi ý một số đề thi thử môn Địa lý lớp 12 năm gần đây để học sinh luyện tập.,Địa lý
"Tôi đang chuẩn bị giáo án Tin học lớp 9 về lập trình Pascal, bạn có thể gợi ý một số tài liệu không?",Tin học
"Bạn có tài liệu hướng dẫn dạy Công nghệ lớp 8 về chủ đề điện dân dụng không, gửi cho mình tham khảo.",Công nghệ
"Mình cần bộ giáo trình Âm nhạc lớp 2 để soạn bài giảng, bạn tìm giúp mình được không?",Âm nhạc
Tổng hợp tài liệu hướng dẫn dạy Mỹ thuật sáng tạo dành cho học sinh tiểu học.,Mỹ thuật
"Tôi đang cần đề cương ôn tập môn Vật lý cho học sinh lớp 10, bạn có thể gợi ý giúp tôi không?",Vật lý
Bạn có tài liệu nào về kiến thức cơ bản trong môn Tin học lớp 8 không?,Tin học
"Là giáo viên môn Địa lý, tôi muốn tìm các bài tập thực hành cho học sinh lớp 9.",Địa lý
Tôi cần tìm tuyển tập đề thi thử môn Sinh học để luyện tập cho kỳ thi THPT Quốc gia.,Sinh học
Tôi muốn xin mẫu giáo án Hình học lớp 7 để tham khảo cách soạn bài.,Hình học
Bạn có thể giới thiệu cho mình các chủ đề thảo luận trong môn Giáo dục Công dân không?,Giáo dục Công dân
"Tôi đang làm bài nghiên cứu về lịch sử Việt Nam trong thế kỷ XX, có nguồn tài liệu nào đáng tin cậy không?",Lịch sử
Xin hỏi có những bài tập thực tế nào phù hợp cho môn Hoạt động trải nghiệm ở cấp tiểu học?,Hoạt động trải nghiệm
"Tôi cần đề kiểm tra giữa kỳ môn Đại số lớp 9, bạn có thể kiếm giúp tôi một vài tài liệu không?",Đại số
Có sách tham khảo nào tốt về môn Công nghệ lớp 10 không?,Công nghệ
Bạn có tài liệu hướng dẫn học Mỹ thuật dành cho học sinh tiểu học không?,Mỹ thuật
"Tôi muốn chuẩn bị bài giảng về các thể loại nhạc trong Âm nhạc lớp 6, bạn có tài liệu hỗ trợ không?",Âm nhạc
Bạn có bộ câu hỏi trắc nghiệm môn Toán lớp 8 để ôn tập không?,Toán
"Tôi đang làm giáo án Ngữ văn lớp 11, xin gợi ý một số tài liệu tham khảo.",Ngữ văn
Bạn có biết cách tổ chức hoạt động ngoài trời trong môn Giáo dục thể chất không chia sẻ giúp tôi với.,Giáo dục thể chất
"Tôi cần tài liệu ôn tập môn Hóa học cho học sinh yếu, có tài liệu nào phù hợp không?",Hóa học
"Tôi là giáo viên Tiếng Việt, xin gợi ý cho tôi một số tài liệu giảng dạy lớp 5.",Tiếng Việt
Tôi đang cần tìm đề thi mẫu môn Ngữ văn lớp 9 để luyện tập thêm.,Ngữ văn
Có tài liệu nào về Toán lớp 10 giúp tôi ôn tập kiến thức cơ bản không?,Toán
Bạn có thể giới thiệu cho tôi một số bài tập Đại số nâng cao dành cho học sinh giỏi không?,Đại số
Xin hỏi có bài giảng nào về Hình học không gian dành cho học sinh lớp 11 không?,Hình học
Tôi muốn tìm tài liệu về Vật lý cơ bản để dạy học sinh lớp 8.,Vật lý
Tôi cần đề cương ôn tập môn Hóa học chuẩn bị cho kỳ thi học kỳ.,Hóa học
Cho tôi xin một số tài liệu Sinh học lớp 12 về di truyền học.,Sinh học
"Tôi đang muốn tìm hiểu về các sự kiện lớn trong Lịch sử Việt Nam thế kỷ 20, có tài liệu nào không?",Lịch sử
Bạn có bài giảng Địa lý về khí hậu Việt Nam không?,Địa lý
Bạn có thể giới thiệu cho mình một số tài liệu luyện tin học văn phòng không?,Tin học
Tôi muốn tìm giáo án môn Công nghệ lớp 7 về chủ đề trồng trọt.,Công nghệ
Có tài liệu nào hướng dẫn dạy Âm nhạc cho học sinh tiểu học không?,Âm nhạc
